"","date","port01","port02","port03","port04","port05","port06","port07","port08","port09","port10","portLS"
"1",1951-07-31,9.94621625590647,8.28686340591244,9.0900442462879,8.19687212444474,3.4897477078508,5.8740028803517,12.1018924653865,5.00811338197764,6.63281235157033,6.29172071986117,-3.6544955360453
"2",1951-08-31,3.94013122922117,9.73196656507628,6.79409414655762,3.54418580352036,5.38022363936223,5.53678895717248,2.70695157467072,6.45881814310055,2.18430699558138,2.5447917855204,-1.39533944370076
"3",1951-09-28,4.9356966620559,-0.808838390607326,1.65096594810436,2.9240715472094,-0.606397304609963,2.37941656079147,-2.43838790302758,2.77112936027967,-0.820638090550765,-0.423511273277531,-5.35920793533343
"4",1951-10-31,-3.11811293459522,1.11106979499809,-1.85527400171636,-3.64081900899929,-6.57651099871993,-3.78046807132496,0.647033206959565,-4.05762240925728,-2.77303687146982,-4.06112015231396,-0.94300721771874
"5",1951-11-30,1.40763512697008,0.105618704005089,0.758084767462962,0.144994198133904,-1.05061611416653,1.74376415447858,1.31293613869339,1.71795081140045,1.19235123349709,-0.271332328862936,-1.67896745583302
"6",1951-12-31,2.45678698734209,1.07684543113923,4.33644157816503,5.40539323838153,5.23994815726929,3.45974415052622,7.28812023808631,4.50554305283964,3.61995573684495,3.46666734460411,1.00988035726202
"7",1952-01-31,4.75786978013454,5.073054633584,4.5859815316419,-0.289291207465699,-2.56000892913221,-1.03130168679289,4.67789999556098,-1.24108752267753,1.33160551507782,0.454557392161629,-4.30331238797291
"8",1952-02-29,-1.32711581772364,-5.5081605625164,-5.49382658505875,-4.50429803557667,-1.34198886285457,-2.00505410421855,-4.61711115644154,-1.9835136279556,-2.92461206088038,-1.49963081710575,-0.172514999382107
"9",1952-03-31,6.42014159267173,5.01472601712616,6.0178054182265,4.99519750819617,1.93124786771813,4.55464451047531,5.26232509133464,7.84679055348108,2.29428695144407,2.17441452409295,-4.24572706857878
"10",1952-04-30,-8.35128809874558,-6.48628943685417,-7.67633920370477,-8.71408850400376,-6.79843567620504,-5.32108072416347,-6.41055067520646,-3.86329978296626,-4.62015596693049,-3.28683910368757,5.06444899505801
"11",1952-05-29,3.30316280126705,3.07204866771336,4.37940219851088,2.71848491163863,4.93267197547514,2.48311053443762,4.07266847365856,4.14791562274897,4.80776165432322,2.37367761563082,-0.929485185636227
"12",1952-06-30,3.86626598076059,4.7903152925215,5.35697624962181,6.2558925282865,2.89085223641694,4.1623682737557,4.68665641691701,6.12020793673014,3.23468653507489,1.52188159896509,-2.34438438179551
"13",1952-07-31,-0.039380351040695,3.10908173328724,0.537047264872198,3.19161137194569,2.87650401659734,1.55206138643944,0.134281674576613,0.302390639488282,3.08979830635966,-1.61096404808372,-1.57158369704302
"14",1952-08-29,-0.585595265291419,-0.845016028784723,-2.01361697356215,-1.66926597944399,-1.66023443282912,-1.53296591462809,0.0346500243569583,0.170340549597488,-1.12403237113674,0.251813251300446,0.837408516591865
"15",1952-09-30,-3.1910523925057,-4.9583291337325,-4.91832369784408,-3.17336069573272,-1.08332460149422,-1.17494911533068,-2.30901485107762,-0.38021023207905,-2.03217030330256,0.110395700375307,3.301448092881
"16",1952-10-31,-0.698097637807907,-2.01150340400392,0.773108458387665,-0.867117389131693,-1.13943920798449,-1.9732364924484,0.883526555463992,0.0896729811677496,-1.58839456718855,-2.99665123957815,-2.29855360177025
"17",1952-11-28,3.62915834558102,7.63158145243029,5.94915903136522,6.422366792773,9.52912163242335,6.25501280079942,5.17667996980102,9.44621399845388,6.86264222851924,6.84366136842155,3.21450302284053
"18",1952-12-31,4.41162655384633,0.865875577108811,4.03971868839453,5.27483559824821,2.32076251086582,2.60542456660836,3.99144404115814,3.48876620616461,1.83864147372035,0.81754902149636,-3.59407753234997
"19",1953-01-30,-0.15023311149956,-1.02566243599634,-0.901359289642675,-0.10215440025194,0.595297561702177,-0.144814555954495,-1.46816390538511,-2.48024098825839,-1.16310120318393,0.444077186408152,0.594310297907712
"20",1953-02-27,1.12281573127626,1.0728540620769,-0.626364403462751,1.16080266230096,-1.69255535955517,0.440086457171678,-1.10628326371768,-0.631564202915663,1.15822368726406,0.679639532493066,-0.443176198783196
"21",1953-03-31,-2.67483363413244,-3.60527733292747,-1.77473847615329,-3.19134002289631,-1.1773021423325,-0.202221902365445,-2.63405379886443,-0.736744540707716,-1.46643876192335,0.386858274534913,3.06169190866735
"22",1953-04-30,-1.49894623945948,-1.66926637595793,-3.5533461956255,-3.04603568607949,-3.04368946936175,-1.90172483388901,-3.14283779610426,0.0700873983314142,-2.7919609327704,-2.89279926042965,-1.39385302097016
"23",1953-05-29,1.06130326272046,-0.501135120637942,-0.0177273923469788,1.05896347190481,-0.121100156889505,0.032172650690766,1.56681964872001,1.1567708305771,1.08339394827863,2.13348482941257,1.07218156669211
"24",1953-06-30,-0.466110969756411,-1.86055628178656,-0.779115146923455,-2.64989570466105,-0.958916133973464,-1.27133581849493,-1.1411396304132,-1.24571107212839,-1.53089949434588,-2.70984917059254,-2.24373820083613
"25",1953-07-31,2.75436914914603,3.22304885018795,2.99196319011892,3.85057812032918,2.11218241514218,3.37134029541964,1.25350243161299,3.04141626712649,3.1188923230552,3.30799467672884,0.553625527582803
"26",1953-08-31,-4.12524587082143,-7.59036556359914,-6.69926499284127,-6.15062939133458,-5.78910948725176,-3.46017748758886,-5.58632600549979,-3.62644267810237,-3.41476772949796,-1.72691855137135,2.39832731945008
