date,port01,port02,port03,port04,port05,port06,port07,port08,port09,port10,portLS
1951-07-02,0.546270101484434,0.492770856232236,0.0674316677395459,0.418019725252238,0.891074595672955,1.14173292824232,0.61083229797789,0.628379012452511,0.627660265577947,1.2989751761847,0.752705074700269
1951-07-03,1.26350208606506,0.294175550794093,0.555910051638724,0.376490471336879,0.379753528022115,0.827963473929002,0.835965939927253,1.12370743714556,0.447226903050737,1.47217433908471,0.208672253019652
1951-07-05,1.36557887981993,1.51443618052931,1.9347621294927,2.61811990315469,1.52392342125541,2.01305491164251,2.17189835955712,2.01856683496769,0.686649184656193,2.12548733971229,0.759908459892361
1951-07-06,0.22250204816584,-0.0686253127524782,-0.117522822311866,-0.399285030572263,-0.233862119693856,0.343324024817228,0.0761964584996719,-0.074401364376698,0.0407430352330184,0.394125364988204,0.171623316822364
1951-07-09,0.517015894905275,0.441313402655104,0.473450762631574,0.610536888777145,0.158190601234838,0.284404407821433,-0.427059625192361,0.0305978172026192,0.163038868953383,0.196717217896267,-0.320298677009008
1951-07-10,-0.705142034249911,-0.0146700646651861,-0.81303043223871,-0.648593921817144,-0.396107305087256,-0.531360680072365,-0.369449074126033,-0.48161449101899,0.0717700206203344,-0.209764302155076,0.495377732094835
1951-07-11,0.000255753187860463,0.497966739093813,0.250972986517517,0.252562565731214,-0.0602170178354114,-0.294037852404503,0.322364874971439,0.188068364208455,0.17771181872412,0.160479371696787,0.160223618508927
1951-07-12,0.714757947522159,0.780175403868384,0.584582186732995,0.347099187364286,-0.0499914409610904,0.580936558056318,0.802146671549401,1.0043622025833,0.152188760772088,0.204602608213592,-0.510155339308567
1951-07-13,0.486641392946141,0.863741965880548,0.745853386962498,1.41426935627448,1.31659316689215,0.632026227425113,0.187946137621653,0.512968879470156,0.248205759873631,1.28729180451905,0.800650411572906
1951-07-16,-0.485194070650731,-1.13429713650406,-1.16033728892472,-0.677993151364917,-0.552541598553694,-1.36112985496116,-0.621816291150948,-0.574553099648145,-0.479665412438006,-0.956426564640668,-0.471232493989937
1951-07-17,0.676985341234619,0.739963352999606,0.790284018664599,0.79667527753572,1.96299128576685,0.720082861776366,0.259481215843844,1.01203119630753,0.382495862192446,0.600979823492945,-0.0760055177416736
1951-07-18,-0.0387418336119278,0.200281417155987,-0.0224778166645778,-0.330754953717246,-0.199005780902143,-0.0756575161762705,-0.0562940469760246,0.136655954497648,-0.119869232326995,-0.202455165921427,-0.163713332309499
1951-07-19,0.148026232881442,0.01527591878662,0.0909155548709331,-0.00229631231311398,0.309387936274071,-0.676691761792564,0.211304459315208,-0.116613020552014,-0.0130345402436473,0.0424494576796817,-0.10557677520176
1951-07-20,-0.171083067568473,0.691797131285735,0.258506684337483,0.443507311309556,0.974332705772051,-0.186591637789477,-0.392712409026999,0.0873447015082176,0.0277925260849481,0.624216570948436,0.79529963851691
1951-07-23,0.716028706411561,0.330222653229352,1.62506506030651,1.26069809727728,1.76136623331965,1.75023566276209,0.456933797636521,-0.0565235063824982,0.592851093296135,0.641421810610681,-0.07460689580088
1951-07-24,0.91167424648527,1.40525479622226,0.887108028049857,2.42743755565278,1.75148375509287,0.956644028557093,1.16058425492437,0.645215012053522,0.782361021708534,1.2579819914843,0.346307744999028
1951-07-25,-0.297789885376954,-0.773311521262907,-0.0324180793653099,-0.90930527751032,-0.199216353552153,-0.224624153503284,0.148933411579304,0.271323730935619,-0.197479944293062,0.16825582625168,0.466045711628633
1951-07-26,-0.129386938080739,1.02589065127626,-0.0315369922976798,0.783154096152959,0.814127981854023,0.335097468031096,0.273528963322093,0.73262062957958,0.467299957738956,0.639383890257142,0.768770828337881
1951-07-27,0.181801916145733,0.743592712406097,0.445291129094412,1.08203931548401,-0.210833098354717,-0.351669924634107,0.245057593965904,0.207928771713428,-0.0995272845516283,-0.205669990884812,-0.387471907030544
1951-07-30,0.691138018229454,1.06558928422281,1.13088791862045,1.12832558782334,0.908778210769797,-0.537323383221961,0.232627780783899,-0.194629257596787,0.0918569864776306,1.17671277532091,0.485574757091459
1951-07-31,-1.45063160658639,-0.824277961966884,-0.725927149787562,-1.33069750403478,-0.468530186971441,-0.551402303165254,-0.438319766050207,0.132376562465399,-0.306609250467518,-0.0818486272956821,1.3687829792907
1951-08-01,0.491655203712753,0.858197036121451,1.79934046459757,0.741990522677479,-0.0823663836859013,0.0423509740062959,1.06471800017669,1.07139888858662,0.445634452586115,0.832190668808348,0.340535465095596
1951-08-02,1.17132307611456,0.869759759168311,0.664666518828097,1.6203870925307,1.22440748029029,2.65364938168343,1.7738438337904,1.43137156728061,0.378460133612671,1.30646754058802,0.13514446447347
1951-08-03,0.568390134620124,0.271078036905596,0.154050968388635,0.512600016603763,0.590441652053867,-0.129147821051053,-0.107677811867996,0.339995884892889,0.0143584266217773,-0.258261053510365,-0.826651188130489
1951-08-06,1.1518534991406,0.306277369501659,1.09049917243295,0.677542094950448,0.914370128964659,0.898350046930724,0.501512914088089,-0.0357935012021158,0.370364047026513,0.777650593467076,-0.374202905673528
1951-08-07,-0.423601056295928,0.191546131917315,0.645130916971916,-0.644746336724225,-0.456872155845597,0.939753531870488,-0.0688087235192042,0.0807662577157875,0.0819388228386474,-0.0443764876152092,0.379224568680719
1951-08-08,-0.0088258895254769,-0.255292570685426,-0.800190237325046,0.112844998331789,-1.12253759300536,0.516637321064889,-0.16040942563068,-0.0492113451754288,0.0117968565643937,-0.789711180602847,-0.78088529107737
